	id	keywords	text	timestamp	language	user_id	hashtags	geo	coordinates	place	user_timezone
981	479429587386920960	oil charts	Iraq’s Impact On Global Oil In Four Easy Charts http://t.co/6x35d8gAu2	1403125495.0	en	364133958					Eastern Time (US & Canada)
982	479435421672169472	oil price	RUBBER - Tokyo futures hold near 3-week high on firm oil price http://t.co/ijUBB6Q9Td #malaysia	1403126886.0	en	2345323304	malaysia				
983	479445576073764864	oil price	CND Solar Oil Cuticle Oil 3.7ml Mini Size (great to use with all nail services) - Full read by eBay: Price 2.99... http://t.co/p8WmpBtB16	1403129307.0	en	2389811239					
984	479466186866819072	oil future	RT @uzomatic_: African dads get so happy when their future son-in-law works with an oil company. 😂😂😂	1403134221.0	en	334157530					Eastern Time (US & Canada)
985	479468984480194561	oil industry	RT @___Danno: Stephen Lautens was the brainchild behind a meme which skewered Harper government's ties to the oil industry #cdnpoli http://…	1403134888.0	en	273405104	cdnpoli				Arizona
986	479476555220267008	crude oil	"Crude Oil (brent)$/bbl 113.60
Crude Oil (WTI)$/bbl 106.52
Cotton $/lb 76.46
Gold $/ozs 1,271.48
Silver $/ozs... http://t.co/5WfTgoykXV"	1403136693.0	en	151815348					
987	479478199361871872	oil prices	What happens when  Oil prices is no longer  calculated in U.S Dollars	1403137085.0	en	1968963762					Eastern Time (US & Canada)
988	479479717716692992	oil prices	Oil prices up with Iraq violence in focus: Oil prices up with Iraq violence in focus ... http://t.co/M2zhia2GGx	1403137447.0	en	462420179					
989	479479990334259201	crude oil	RT @ETMarkets: Indian Oil Corp says: Imports 40 mn tn crude oil from Iraq; Supplies for company, sector affected due to Iraq concerns	1403137512.0	en	532029122					Mumbai
990	479486785131532288	buy oil	#5: SEOH Mineral Oil Light Lab Grade 4 Liters: SEOH Mineral Oil Light Lab Grade 4 Liters SEOH Buy new:   $111.... http://t.co/uvepw91wxM	1403139132.0	en	41525940					Hawaii
991	479499229618921472	oil market	Global market player in Diesel Engine Oil segment (Both medium speed and high speed) http://t.co/F1dgs5XE60  #socialmedia #srudukfollow	1403142099.0	en	1649562086	socialmedia#srudukfollow				Bangkok
992	479512215180300288	oil chart	USO 39.01 Stock Charts $USO United States Oil Fund LP (NAR) Last Updated: 06/19/2014 01:33:16 USO Stock Chart  http://t.co/ZW9viA9eSh	1403145195.0	en	2243075472					
993	479513943220977665	oil market	RT @OilGasMalaysia: UPDATE 1-EnQuest buys into Malaysian oil field to grow outside of core UK market - Reuters Africa http://t.co/M512iztPQl	1403145607.0	en	51852637					London
994	479514060661481472	barrel price	"""As the search for a customer dragged on, the Kurds lowered the price to $56 per barrel as of June 11,” http://t.co/il1zyaDnCs"	1403145635.0	en	51837382					Quito
995	479520368911056896	fuel prices	RT @SteveGibbonsXMP: Fuel prices courtesy of @TonyAbbottMHR http://t.co/LOXyjvy411	1403147139.0	en	306553423					
996	479522482823503872	oil price	RT @ETNOWlive: Oil Min Sources: Option 2: Higher price only for  incremental production post FY14	1403147643.0	en	2397575688					
